 NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE,
ORGANIC SUBSTANCE METABOLIC PROCESS%GOBP%GO:0071704,ORGANIC SUBSTANCE METABOLIC PROCESS%GOBP%GO:0071704,Details ...,483,0.19345796,4.238799,0.0,0.0,0.0,863,"tags=63%, list=49%, signal=89%",
PRIMARY METABOLIC PROCESS%GOBP%GO:0044238,PRIMARY METABOLIC PROCESS%GOBP%GO:0044238,Details ...,450,0.192824,4.1466413,0.0,0.0,0.0,951,"tags=68%, list=54%, signal=109%",
CELLULAR METABOLIC PROCESS%GOBP%GO:0044237,CELLULAR METABOLIC PROCESS%GOBP%GO:0044237,Details ...,393,0.18563743,3.7182,0.0,0.0,0.0,863,"tags=63%, list=49%, signal=96%",
NITROGEN COMPOUND METABOLIC PROCESS%GOBP%GO:0006807,NITROGEN COMPOUND METABOLIC PROCESS%GOBP%GO:0006807,Details ...,412,0.17877463,3.6886091,0.0,0.0,0.0,863,"tags=62%, list=49%, signal=93%",
MACROMOLECULE METABOLIC PROCESS%GOBP%GO:0043170,MACROMOLECULE METABOLIC PROCESS%GOBP%GO:0043170,Details ...,330,0.18408336,3.5795763,0.0,0.0,0.0,863,"tags=64%, list=49%, signal=101%",
ORGANONITROGEN COMPOUND METABOLIC PROCESS%GOBP%GO:1901564,ORGANONITROGEN COMPOUND METABOLIC PROCESS%GOBP%GO:1901564,Details ...,346,0.18241447,3.517663,0.0,0.0,0.0,852,"tags=63%, list=48%, signal=97%",
PROTEIN METABOLIC PROCESS%GOBP%GO:0019538,PROTEIN METABOLIC PROCESS%GOBP%GO:0019538,Details ...,260,0.2050745,3.4922836,0.0,0.0,0.0,863,"tags=66%, list=49%, signal=110%",
SIGNALING PATHWAYS%REACTOME DATABASE ID RELEASE 83%162582,SIGNALING PATHWAYS%REACTOME DATABASE ID RELEASE 83%162582,Details ...,322,0.17286882,3.306392,0.0,0.0,0.0,1292,"tags=87%, list=73%, signal=261%",
DEVELOPMENTAL PROCESS%GOBP%GO:0032502,DEVELOPMENTAL PROCESS%GOBP%GO:0032502,Details ...,389,0.15113868,3.1178546,0.0,5.517816E-4,0.003,1191,"tags=79%, list=67%, signal=187%",
PROTEIN MODIFICATION PROCESS%GOBP%GO:0036211,PROTEIN MODIFICATION PROCESS%GOBP%GO:0036211,Details ...,171,0.20263365,3.0556433,0.0,4.9660343E-4,0.003,837,"tags=65%, list=47%, signal=112%",
REGULATION OF CELLULAR METABOLIC PROCESS%GOBP%GO:0031323,REGULATION OF CELLULAR METABOLIC PROCESS%GOBP%GO:0031323,Details ...,399,0.15203424,3.0471425,0.0,4.514577E-4,0.003,1352,"tags=88%, list=76%, signal=286%",
REGULATION OF PRIMARY METABOLIC PROCESS%GOBP%GO:0080090,REGULATION OF PRIMARY METABOLIC PROCESS%GOBP%GO:0080090,Details ...,430,0.14243145,3.0367892,0.0,4.138362E-4,0.003,1352,"tags=87%, list=76%, signal=276%",
NERVOUS SYSTEM DEVELOPMENT%GOBP%GO:0007399,NERVOUS SYSTEM DEVELOPMENT%GOBP%GO:0007399,Details ...,110,0.24759313,2.9803948,0.0,3.8200268E-4,0.003,862,"tags=72%, list=49%, signal=131%",
ANATOMICAL STRUCTURE DEVELOPMENT%GOBP%GO:0048856,ANATOMICAL STRUCTURE DEVELOPMENT%GOBP%GO:0048856,Details ...,371,0.1499028,2.9675157,0.0,3.5471676E-4,0.003,1191,"tags=79%, list=67%, signal=190%",
REGULATION OF CELL COMMUNICATION%GOBP%GO:0010646,REGULATION OF CELL COMMUNICATION%GOBP%GO:0010646,Details ...,350,0.14826956,2.9533505,0.0,4.4760914E-4,0.004,1183,"tags=79%, list=67%, signal=189%",
MACROMOLECULE MODIFICATION%GOBP%GO:0043412,MACROMOLECULE MODIFICATION%GOBP%GO:0043412,Details ...,178,0.19924414,2.9518065,0.0,4.1963355E-4,0.004,838,"tags=65%, list=47%, signal=111%",
OXOACID METABOLIC PROCESS%GOBP%GO:0043436,OXOACID METABOLIC PROCESS%GOBP%GO:0043436,Details ...,70,0.29912925,2.9263217,0.0,4.9489725E-4,0.005,808,"tags=74%, list=45%, signal=131%",
ORGANIC ACID METABOLIC PROCESS%GOBP%GO:0006082,ORGANIC ACID METABOLIC PROCESS%GOBP%GO:0006082,Details ...,71,0.3030772,2.924232,0.0,4.6740292E-4,0.005,808,"tags=75%, list=45%, signal=131%",
MULTICELLULAR ORGANISMAL PROCESS%GOBP%GO:0032501,MULTICELLULAR ORGANISMAL PROCESS%GOBP%GO:0032501,Details ...,428,0.13696603,2.8963275,0.0,6.159296E-4,0.007,914,"tags=62%, list=51%, signal=97%",
POSITIVE REGULATION OF NITROGEN COMPOUND METABOLIC PROCESS%GOBP%GO:0051173,POSITIVE REGULATION OF NITROGEN COMPOUND METABOLIC PROCESS%GOBP%GO:0051173,Details ...,253,0.16983359,2.889205,0.0,5.851331E-4,0.007,1039,"tags=73%, list=59%, signal=151%",
RHO GTPASE CYCLE%REACTOME%R-HSA-9012999.2,RHO GTPASE CYCLE%REACTOME%R-HSA-9012999.2,,81,0.28067288,2.8727572,0.0,6.370039E-4,0.008,1080,"tags=88%, list=61%, signal=213%",
NEGATIVE REGULATION OF BIOLOGICAL PROCESS%GOBP%GO:0048519,NEGATIVE REGULATION OF BIOLOGICAL PROCESS%GOBP%GO:0048519,,476,0.13127221,2.8683126,0.0,6.0804916E-4,0.008,1526,"tags=96%, list=86%, signal=497%",
SMALL MOLECULE METABOLIC PROCESS%GOBP%GO:0044281,SMALL MOLECULE METABOLIC PROCESS%GOBP%GO:0044281,,131,0.22217639,2.8654737,0.0,5.816122E-4,0.008,813,"tags=66%, list=46%, signal=113%",
CARBOXYLIC ACID METABOLIC PROCESS%GOBP%GO:0019752,CARBOXYLIC ACID METABOLIC PROCESS%GOBP%GO:0019752,,67,0.30214944,2.8285136,0.0,6.26245E-4,0.009,808,"tags=75%, list=45%, signal=132%",
REGULATION OF DEVELOPMENTAL PROCESS%GOBP%GO:0050793,REGULATION OF DEVELOPMENTAL PROCESS%GOBP%GO:0050793,,217,0.17514361,2.8266833,0.0,6.011952E-4,0.009,1371,"tags=93%, list=77%, signal=357%",
METABOLISM%REACTOME%R-HSA-1430728.11,METABOLISM%REACTOME%R-HSA-1430728.11,,190,0.18600819,2.818017,0.0,5.7807233E-4,0.009,1265,"tags=88%, list=71%, signal=273%",
LOCALIZATION%GOBP%GO:0051179,LOCALIZATION%GOBP%GO:0051179,,334,0.14859852,2.7982883,0.0,6.816143E-4,0.011,1247,"tags=82%, list=70%, signal=224%",
HALLMARK_MTORC1_SIGNALING%MSIGDBHALLMARK%HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING%MSIGDBHALLMARK%HALLMARK_MTORC1_SIGNALING,,27,0.45448175,2.7923176,0.0,7.175977E-4,0.012,717,"tags=85%, list=40%, signal=141%",
REGULATION OF SIGNALING%GOBP%GO:0023051,REGULATION OF SIGNALING%GOBP%GO:0023051,,349,0.14383538,2.7733479,0.0,7.507599E-4,0.013,1183,"tags=78%, list=67%, signal=188%",
CELLULAR COMPONENT ORGANIZATION OR BIOGENESIS%GOBP%GO:0071840,CELLULAR COMPONENT ORGANIZATION OR BIOGENESIS%GOBP%GO:0071840,,429,0.13114133,2.7663336,0.0,7.8082783E-4,0.014,907,"tags=61%, list=51%, signal=95%",
TGF_BETA_RECEPTOR%NETPATH%TGF_BETA_RECEPTOR,TGF_BETA_RECEPTOR%NETPATH%TGF_BETA_RECEPTOR,,18,0.5343192,2.7640145,0.0,7.556398E-4,0.014,441,"tags=78%, list=25%, signal=102%",
REGULATION OF NITROGEN COMPOUND METABOLIC PROCESS%GOBP%GO:0051171,REGULATION OF NITROGEN COMPOUND METABOLIC PROCESS%GOBP%GO:0051171,,422,0.13213499,2.759663,0.0,7.8404916E-4,0.015,1352,"tags=86%, list=76%, signal=275%",
REGULATION OF MOLECULAR FUNCTION%GOBP%GO:0065009,REGULATION OF MOLECULAR FUNCTION%GOBP%GO:0065009,,290,0.14895459,2.7560093,0.0,8.6350786E-4,0.017,880,"tags=62%, list=50%, signal=103%",
REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:0009966,REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:0009966,,335,0.14344765,2.7536259,0.0,8.381106E-4,0.017,1229,"tags=81%, list=69%, signal=213%",
REGULATION OF RESPONSE TO STIMULUS%GOBP%GO:0048583,REGULATION OF RESPONSE TO STIMULUS%GOBP%GO:0048583,,500,0.12291361,2.7241406,0.0,9.5564453E-4,0.02,1231,"tags=78%, list=69%, signal=183%",
ORGANELLE ORGANIZATION%GOBP%GO:0006996,ORGANELLE ORGANIZATION%GOBP%GO:0006996,,216,0.16609608,2.720469,0.0,9.290988E-4,0.02,891,"tags=65%, list=50%, signal=114%",
CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0016043,CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0016043,,424,0.12772427,2.6992579,0.0,0.001041355,0.023,907,"tags=61%, list=51%, signal=95%",
NEGATIVE REGULATION OF CELLULAR PROCESS%GOBP%GO:0048523,NEGATIVE REGULATION OF CELLULAR PROCESS%GOBP%GO:0048523,,419,0.12925695,2.696733,0.0,0.001060164,0.024,1358,"tags=86%, list=76%, signal=280%",
