"x","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000277734",-1609.55567140737,531.383632279606,-41.8705541785041,3.46600944405958e-19,4.35504086646086e-15,-3.88018162091466
"ENSG00000009790",-547.639675685317,175.313093922648,-35.2420172791459,7.12211231975696e-18,2.24444789708955e-14,-3.88341237231393
"ENSG00000136167",-3947.26310398938,1330.55742947069,-34.8891022921355,8.49383909809198e-18,2.24444789708955e-14,-3.883636651073
"ENSG00000160255",-4522.13753461616,1462.88684352016,-34.3076356262782,1.13971224467558e-17,2.24444789708955e-14,-3.88402107109913
"ENSG00000170458",-3476.1473911097,1205.61137813243,-34.0532723523965,1.29812518812715e-17,2.24444789708955e-14,-3.8841953307475
"ENSG00000204472",-841.884373922463,292.790876043949,-34.0497326675461,1.30048698626601e-17,2.24444789708955e-14,-3.88419778273076
"ENSG00000166710",-29601.8124580218,16837.4903295714,-33.9414516830244,1.37497195606608e-17,2.24444789708955e-14,-3.88427315356408
"ENSG00000163131",-3614.20632940486,1178.22083404458,-33.7965185622307,1.48178974546574e-17,2.24444789708955e-14,-3.8843751486566
"ENSG00000175489",-400.569442347306,127.254259003422,-33.6392885532741,1.60764274363756e-17,2.24444789708955e-14,-3.88448725982369
"ENSG00000110876",-2088.46713189803,688.153507552708,-30.3970221084883,9.42713936578699e-17,1.18452006131113e-13,-3.8871908979256
"ENSG00000171051",-780.674240087728,244.735814473694,-29.7491443670537,1.37194235649705e-16,1.56713233721686e-13,-3.88783681657593
"ENSG00000185905",-341.970741250754,110.113433426428,-28.7175405068535,2.5350887431329e-16,2.54526256002086e-13,-3.88895430020051
"ENSG00000163563",-985.833459703305,322.080450985585,-28.6547731297367,2.63337948907849e-16,2.54526256002086e-13,-3.88902609941649
"ENSG00000162511",-3440.6801449934,1153.66234151083,-28.135228866986,3.61913943122519e-16,3.24817763952461e-13,-3.88963841202724
"ENSG00000126759",-1441.97126347345,478.521286668862,-27.817045142755,4.40949406396274e-16,3.69368619424612e-13,-3.89002993927
"ENSG00000182866",-1150.38836920439,381.668396765082,-27.6327532520394,4.94886087912429e-16,3.88640230913729e-13,-3.89026272769462
"ENSG00000082074",-810.127946751066,265.786864355274,-27.2205591409797,6.42340192589703e-16,4.55542744959154e-13,-3.89080005490423
"ENSG00000122862",-1700.23962326189,549.372155488119,-27.1957321102536,6.52588094649007e-16,4.55542744959154e-13,-3.89083317580579
"ENSG00000247774",-343.726023262606,111.833414883082,-26.59906282849,9.58676443674183e-16,6.33987869198216e-13,-3.89165633552351
"ENSG00000077984",-1121.57499996079,353.624300781698,-25.8454656681744,1.57694549447614e-15,9.90716006904637e-13,-3.89277563945134
"ENSG00000160654",-344.708990735919,114.785002951002,-25.4878327136995,2.0067732486749e-15,1.20071932712382e-12,-3.89334061237482
"ENSG00000179144",-1047.86000161522,351.883019211694,-25.3780294273367,2.16231286286343e-15,1.21881574764987e-12,-3.8935187070307
"ENSG00000081237",-1316.12809224296,440.104671282435,-25.3321527941983,2.23101967337422e-15,1.21881574764987e-12,-3.89359377752769
"ENSG00000169442",-2093.48907047147,693.448723170707,-24.352859559809,4.40749586091733e-15,2.30750772885109e-12,-3.89529474413042
"ENSG00000211772",-1339.62536503365,441.429599350687,-24.2432194746856,4.76424599225455e-15,2.39451003570714e-12,-3.89549759455819
"ENSG00000170989",-587.279604715241,266.259122345243,-24.1868193561523,4.95950956313945e-15,2.39677837157104e-12,-3.89560297540572
"ENSG00000143119",-1593.56912377735,514.283185396656,-23.6789566069115,7.14944954828468e-15,3.22155352171707e-12,-3.89658462239613
"ENSG00000198821",-470.124846724398,148.2813917679,-23.6732963146627,7.17894935201575e-15,3.22155352171707e-12,-3.89659590528245
"ENSG00000100721",-250.928477500303,78.6509388935572,-23.6040808938743,7.55024561251218e-15,3.27133917659364e-12,-3.89673450418179
"ENSG00000028137",-674.205701855284,234.692271739338,-23.4493875597771,8.45524831669726e-15,3.54133983664337e-12,-3.89704852260557
"ENSG00000011600",-1442.77102501565,508.738839161143,-23.298409425386,9.44943790406372e-15,3.83007055692131e-12,-3.89736078551536
"ENSG00000180353",-1001.63671915621,331.188720757527,-23.0400768332094,1.1447255546657e-14,4.41009083972296e-12,-3.89790875350247
"ENSG00000143546",-3581.05179619063,1214.63469662587,-23.0243547847924,1.15824112782219e-14,4.41009083972296e-12,-3.8979426725849
"ENSG00000211899",-2094.75711737056,685.736135271747,-22.9310000587714,1.242038630302e-14,4.5900633499249e-12,-3.89814545212971
"ENSG00000160593",-1156.94664668868,385.121467426914,-21.9656781113266,2.59889260442774e-14,9.11405709683176e-12,-3.90038871977532
"ENSG00000211751",-1095.16800393065,361.138662238311,-21.959591068497,2.61126984071583e-14,9.11405709683176e-12,-3.90040376438084
"ENSG00000130755",-776.447670108205,263.10606068189,-21.6557451582787,3.31539073830023e-14,1.12588877369574e-11,-3.90117012592862
"ENSG00000103187",-1368.22324479112,450.660932345779,-21.3119341743957,4.36014471424116e-14,1.44171627195895e-11,-3.90207506004565
"ENSG00000128340",-1443.67882019597,472.422734028248,-21.1704997172241,4.88605955738487e-14,1.57418816252669e-11,-3.90245951082064
